id,position1,position2,position3,position4,position5,position6,position7,position8,position9,position10,position11,position12,position13,position14,position15,position16,position17,position18,position19,position20,position21,position22,position23,position24,position25,position26,position27,position28,position29,position30,xlabel,ylabel
65,-75.6,-80,-61.6,-60.4,-53.4,-41.4,-62.4,-68.4,-62,-72.2,-60.4,-59,-78,-61.8,-77.2,-60.6,-53.4,-42.6,-63,-69.4,-64.8,-72,-60.8,-59.2,-58.2,-60.6,-43,-75.6,-72,-61.2,13.98,17.8
66,-76,-77.6,-62.2,-54.4,-52,-43.6,-59.6,-69.2,-65,-77.6,-62.2,-62.8,-79.2,-61.6,-77.4,-54.4,-51.8,-44.4,-60,-69.8,-65.4,-77.4,-61.8,-62.8,-56,-65,-40,-72,-73,-61.6,13.98,18.4
67,-72,-86,-61.4,-68.6,-54.4,-39.2,-58.6,-73.6,-63.8,-75.2,-55.4,-59.2,-86,-61.2,-74.2,-67.8,-54.2,-39.4,-58.8,-74,-64,-74.8,-55.2,-59.6,-58.2,-71.6,-47.2,-68,-74,-66.2,13.98,11.8
68,-71.8,-81.2,-63.6,-50.6,-52,-43.6,-59.8,-72.6,-68.4,-75,-60.4,-56.8,-80.6,-65.8,-79.6,-50.6,-52,-44,-59.6,-72.4,-67.8,-75.6,-60.6,-56.4,-60,-62.8,-44.4,-70.4,-73,-63.4,13.98,19
69,-69.8,-78,-65.6,-54.6,-48.2,-45.6,-56.2,-71,-65,-71,-64.8,-58.2,-79.6,-64.4,-78,-54.8,-48,-45.2,-56.2,-70.8,-64.6,-70.6,-64.8,-58.6,-63,-67.2,-45,-69.2,-73.8,-69,13.98,19.6
70,-72,-78,-64.8,-55.6,-50,-45.2,-62.8,-66.8,-66.4,-68.6,-65.8,-56,-76.8,-64,-78,-55.6,-49.8,-45.4,-63,-66.2,-66.2,-68.2,-66,-56.2,-58.2,-61.4,-44.4,-77,-71.4,-67.4,13.98,20.2
71,-74,-79.4,-69.2,-50.8,-52.4,-51.2,-50.8,-58.6,-69.2,-68.4,-69.8,-58.8,-80,-69.2,-81.8,-51,-52.2,-49.8,-50.8,-58.8,-69.2,-68.2,-70,-59,-68.6,-62.6,-52,-76.2,-60.6,-58.6,13.98,20.8
72,-77,-84,-65.2,-58.8,-52.8,-43.8,-59.2,-65.4,-65.4,-69.4,-62.2,-58.4,-86.6,-65.2,-81,-59.2,-52.6,-46.2,-59.2,-65.4,-65.6,-69.8,-62,-58.4,-60.6,-58,-39.6,-67.2,-67.4,-62.2,16.95,21.4
73,-72.8,-70,-60.4,-72.4,-58.4,-41.2,-63,-72,-57.4,-70,-55.8,-55.2,-71,-61,-70,-72.2,-58,-40.4,-63.2,-71.8,-57.2,-72,-56,-55,-63.2,-67.4,-48.2,-70.33333333,-78,-63.8,16.95,12.4
74,-75.5,-73,-60,-65.4,-57.2,-48.8,-61,-70.6,-62,-70.2,-62.6,-58.4,-73,-60,-75.4,-65.4,-57.2,-49.2,-61,-71.2,-61.4,-72.6,-62.6,-58.6,-46.8,-65.2,-49.8,-70,-76.4,-61.6,16.95,11.2
75,-68.2,-66.8,-62.4,-68.2,-58,-43,-64.2,-71.6,-62.6,-72.2,-45.4,-56.2,-67.8,-62.6,-73,-70.2,-57.8,-42.4,-64.2,-70.6,-61.2,-73.6,-45.8,-56.2,-60.2,-70,-54.6,-69,-77.5,-66,16.95,13
76,-72.8,-67.4,-60,-65,-54.8,-39.8,-60.8,-77.6,-57.4,-72.4,-44.6,-56,-67.2,-60.2,-75,-65,-54.8,-39.4,-61.2,-71.2,-57.8,-73.4,-44.6,-56.2,-58.8,-67.5,-55.4,-76.2,-76.8,-67.6,16.95,13.6
77,-71.8,-69,-59.6,-67.6,-50.2,-38.2,-61.2,-70.4,-55.2,-74,-48.8,-54.8,-69.2,-59.2,-75,-68,-49.8,-38.8,-61,-70.6,-55.6,-74,-48.6,-54.6,-59.4,-64.8,-53,-70.75,-75.4,-70.6,16.95,14.2
78,-74.6,-69,-57.8,-65,-50.8,-37.8,-61.6,-66.6,-59.4,-79.4,-55.8,-56,-71.6,-56.6,-67.8,-65.8,-50.6,-37.6,-61.4,-67.6,-59.8,-79.6,-56,-56,-58,-62.33333333,-57.6,-75.4,-76.8,-62.8,16.95,14.8
